,title,release_year,age_rating,runtime,rating,metascore,director,votes,gross
660,Cannibal Ferox,1981,Not Rated,93,5.2,-1,Umberto Lenzi,9097,-1
661,The Spiral Staircase,1946,Approved,83,7.4,-1,Robert Siodmak,9057,-1
662,The Addiction,1995,Not Rated,82,6.5,-1,Abel Ferrara,8972,302393
663,Frankenhooker,1990,R,85,6.2,-1,Frank Henenlotter,8935,205068
664,Dracula: Prince of Darkness,1966,Unrated,90,6.8,-1,Terence Fisher,8920,795562
665,Sien lui yau wan,1987,Unrated,98,7.5,-1,Siu-Tung Ching,8864,-1
666,The Dead,2010,R,105,5.7,59,Howard J. Ford,8846,-1
667,White Dog,1982,PG,90,7.1,-1,Samuel Fuller,8830,-1
668,Dumplings,2004,Not Rated,91,6.8,-1,Fruit Chan,8730,-1
669,Angst,1983,Not Rated,87,7.3,-1,Gerald Kargl,8729,-1
670,The Last Wave,1977,PG,106,7.0,85,Peter Weir,8724,-1
671,Pieces,1982,Not Rated,85,6.1,-1,Juan Piquer Simón,8718,2032311
672, Masters of Horror,2005,TV-MA,59,7.6,-1,John Carpenter,8717,-1
673,Tarantula,1955,Approved,80,6.5,-1,Jack Arnold,8695,1100000
674,The Last Winter,2006,Not Rated,101,5.6,69,Larry Fessenden,8686,32921
675,Cold Prey 2,2008,Not Rated,86,6.2,-1,Mats Stenberg,8636,-1
676,The Battery,2012,Not Rated,101,6.4,-1,Jeremy Gardner,8634,-1
677,It Came from Outer Space,1953,Approved,81,6.5,-1,Jack Arnold,8600,-1
678,Satan,2006,Not Rated,95,5.7,-1,Kim Chapiron,8579,-1
679,Targets,1968,R,90,7.4,-1,Peter Bogdanovich,8566,-1
680,The Happiness of the Katakuris,2001,R,113,7.1,60,Takashi Miike,8494,-1
681,Tourist Trap,1979,PG,90,6.2,-1,David Schmoeller,8459,-1
682,Nekromantik,1987,Not Rated,71,5.0,-1,Jörg Buttgereit,8449,-1
683,The Hamiltons,2006,R,86,5.1,-1,Mitchell Altieri,8432,-1
684,The Dentist,1996,R,92,5.3,-1,Brian Yuzna,8414,-1
685,Something Wicked This Way Comes,1983,PG,95,6.8,-1,Jack Clayton,8394,8400000
686,Happy Birthday to Me,1981,R,110,6.1,24,J. Lee Thompson,8349,-1
687,Valerie and Her Week of Wonders,1970,Not Rated,77,7.2,-1,Jaromil Jires,8328,-1
688,Island of Lost Souls,1932,Passed,70,7.4,-1,Erle C. Kenton,8290,-1
689,The Body Snatcher,1945,Approved,78,7.3,-1,Robert Wise,8287,-1
690,Dr. Jekyll and Mr. Hyde,1941,Passed,113,6.8,-1,Victor Fleming,8265,-1
691,The Mummy,1959,Unrated,88,6.8,62,Terence Fisher,8260,-1
692,Don't Torture a Duckling,1972,Not Rated,105,7.1,-1,Lucio Fulci,8219,-1
693,Demon Seed,1977,Approved,94,6.3,55,Donald Cammell,8203,-1
694,The Devil Rides Out,1968,G,95,7.0,-1,Terence Fisher,8002,-1
695,The Burrowers,2008,R,96,5.7,-1,J.T. Petty,7927,-1
696,Class of Nuke 'Em High,1986,R,85,5.7,-1,Richard W. Haines,7884,-1
697,Frankenstein Meets the Wolf Man,1943,Approved,74,6.5,-1,Roy William Neill,7884,-1
698,The Call of Cthulhu,2005,Not Rated,47,7.2,-1,Andrew Leman,7831,-1
699,Humanoids from the Deep,1980,R,80,5.7,49,Barbara Peeters,7809,-1
700,Poultrygeist: Night of the Chicken Dead,2006,Not Rated,103,6.1,-1,Lloyd Kaufman,7773,23000
701,Grace,2009,R,85,5.1,52,Paul Solet,7679,6174
702,Ghost Story,1981,R,110,6.3,-1,John Irvin,7661,23371905
703,Phase IV,1974,PG,84,6.5,49,Saul Bass,7655,-1
704,The Stendhal Syndrome,1996,Not Rated,113,6.1,42,Dario Argento,7615,-1
705,Intruder,1989,R,83,6.3,-1,Scott Spiegel,7476,-1
706,The House on Sorority Row,1982,R,91,6.0,50,Mark Rosman,7439,1292888
707,The Reflecting Skin,1990,R,96,6.8,-1,Philip Ridley,7400,-1
708,Let Sleeping Corpses Lie,1974,R,95,6.8,-1,Jorge Grau,7398,-1
709,Let's Scare Jessica to Death,1971,GP,89,6.4,-1,John D. Hancock,7392,-1
710,The Cremator,1969,Not Rated,95,8.1,-1,Juraj Herz,7383,-1
711,Invasion of the Triffids,1963,Approved,93,6.2,-1,Steve Sekely,7377,-1
712,Uzumaki,2000,90 min,90,6.2,62,Higuchinsky,7352,-1
713,The Tingler,1959,Not Rated,82,6.7,-1,William Castle,7322,-1
714,Trouble Every Day,2001,Not Rated,101,6.0,40,Claire Denis,7316,9189
715,The Unknown,1927,Unrated,63,7.8,-1,Tod Browning,7308,406600
716,4 mosche di velluto grigio,1971,PG,104,6.7,-1,Dario Argento,7273,-1
717,Castle Freak,1995,R,90,6.0,-1,Stuart Gordon,7270,-1
718,Secuestrados,2010,Not Rated,85,6.4,49,Miguel Ángel Vivas,7242,-1
719,Invaders from Mars,1953,Approved,78,6.3,-1,William Cameron Menzies,7196,-1
720,It's Alive,1974,PG,91,5.8,72,Larry Cohen,7121,-1
721,The Town That Dreaded Sundown,1976,Approved,90,6.0,52,Charles B. Pierce,7118,-1
722,Dementia 13,1963,Unrated,75,5.7,-1,Francis Ford Coppola,7102,-1
723,The Nameless,1999,R,102,5.9,-1,Jaume Balagueró,7030,-1
724,The 4th Man,1983,Unrated,102,7.2,-1,Paul Verhoeven,7027,-1
725,Q,1982,R,93,6.0,-1,Larry Cohen,7012,-1
726,"The Beast from 20,000 Fathoms",1953,Approved,80,6.7,-1,Eugène Lourié,7005,5000000
727,The Church,1989,R,102,6.2,-1,Michele Soavi,6968,-1
728,StageFright,1987,Unrated,90,6.7,-1,Michele Soavi,6887,-1
729,The Golem,1920,Unrated,91,7.2,-1,Carl Boese,6869,-1
730,Dead Heat,1988,R,86,6.1,-1,Mark Goldblatt,6864,3588626
731,The Driller Killer,1979,Not Rated,96,5.2,66,Abel Ferrara,6847,-1
732,The Brides of Dracula,1960,Unrated,85,6.7,-1,Terence Fisher,6833,-1
733,Isolation,2005,R,95,5.6,-1,Billy O'Brien,6827,-1
734,Eaten Alive,1976,R,91,5.5,48,Tobe Hooper,6639,-1
735,Parents,1989,R,81,6.2,66,Bob Balaban,6624,870532
736,Phantom of the Opera,1943,Approved,92,6.4,63,Arthur Lubin,6597,3488000
737,Who Can Kill a Child?,1976,R,112,7.3,-1,Narciso Ibáñez Serrador,6567,-1
738,Dracula Has Risen from the Grave,1968,G,92,6.6,-1,Freddie Francis,6482,-1
739,Tales of Terror,1962,Not Rated,89,6.9,68,Roger Corman,6460,-1
740,TerrorVision,1986,R,83,5.7,-1,Ted Nicolaou,6412,320256
741,Black Cat,1968,Not Rated,99,7.7,-1,Kaneto Shindô,6406,-1
742,Hell Night,1981,R,101,5.8,36,Tom DeSimone,6349,-1
743,Trauma,1993,R,106,5.9,-1,Dario Argento,6337,-1
744,Trilogy of Terror,1975,Unrated,72,6.6,-1,Dan Curtis,6300,-1
745,The City of the Dead,1960,PG-13,76,6.8,-1,John Llewellyn Moxey,6244,-1
746,Lady in White,1988,PG-13,113,6.7,70,Frank LaLoggia,6244,1705139
747,"Spider Baby or, the Maddest Story Ever Told",1967,Not Rated,81,6.9,-1,Jack Hill,6231,-1
748,X: The Man with the X-Ray Eyes,1963,Not Rated,79,6.7,-1,Roger Corman,6209,-1
749,Asylum,1972,PG,88,6.5,65,Roy Ward Baker,6169,-1
750,Reincarnation,2005,R,96,6.2,-1,Takashi Shimizu,6144,-1
751,The Haunted Palace,1963,Not Rated,87,6.8,-1,Roger Corman,6142,2616000
752,Christmas Evil,1980,R,100,5.6,-1,Lewis Jackson,6138,-1
753,House of Frankenstein,1944,Passed,71,6.3,-1,Erle C. Kenton,6105,-1
754,The Seventh Victim,1943,Approved,71,6.8,-1,Mark Robson,6037,-1
755,A Bucket of Blood,1959,Approved,66,6.7,-1,Roger Corman,6028,-1
756,The Man Who Laughs,1928,Not Rated,110,7.7,-1,Paul Leni,6025,-1
757,Blood Feast,1963,Not Rated,67,5.1,-1,Herschell Gordon Lewis,6022,4000000
758,Otesánek,2000,132 min,132,7.3,74,Jan Svankmajer,5993,116710
759,"Kill, Baby... Kill!",1966,GP,83,7.0,-1,Mario Bava,5993,-1
760,Seance on a Wet Afternoon,1964,115 min,115,7.6,-1,Bryan Forbes,5989,-1
761,Viy,1967,Not Rated,77,7.4,-1,Konstantin Ershov,5983,-1
762,Dracula's Daughter,1936,Approved,71,6.4,-1,Lambert Hillyer,5940,-1
763,Blacula,1972,PG,93,5.7,-1,William Crain,5936,3000000
764,Man Behind the Sun,1988,Not Rated,105,6.1,-1,Tun Fei Mou,5893,-1
